player_id,player_display_name,position,recent_team,age,proj_points,proj_boom_weeks,proj_boom_rate,carry_share,prior_pts,prior_boom_rate,replacement_pts,vor,sim_value,overall_rank,proj_season,is_rookie,draft_round,draft_pick,bye_week
00-0036259,Jauan Jennings,WR,MIN,29.0,144.10206604,1.8365037,0.108029634,0.0,173.3,0.0,89.7821807861,54.3198852539,32.1992564742,51,2026,False,0,0,6
00-0035719,Deebo Samuel Sr.,WR,WAS,30.0,143.1984558105,2.0747564,0.122044496,0.0357894737,188.2,0.25,89.7821807861,53.4162750244,31.6636224721,52,2026,False,0,0,7
DKBF-067-JORDYN-TYSON,Jordyn Tyson,WR,NO,,142.3817471032,1.9123233735,0.1124896102,0.0047890161,,,89.7821807861,52.599566317,31.1795011782,53,2026,False,0,0,8
00-0038117,Wan'Dale Robinson,WR,TEN,25.0,140.6446685791,1.635393,0.09619959,0.0059760956,226.9,0.25,89.7821807861,50.862487793,30.1498112837,54,2026,False,0,0,9
00-0034960,Jakobi Meyers,WR,JAX,30.0,140.593170166,1.8903346,0.11119615,0.0107296137,177.8,0.0625,89.7821807861,50.8109893799,30.1192845143,55,2026,False,0,0,7
00-0033106,Jared Goff,QB,DET,32.0,297.8159466536,6.278556,0.36932683,0.0255813953,333.86,0.3529411765,210.3753976643,87.4405489893,30.1164981088,56,2026,False,0,0,6
DKBF-082-MAKAI-LEMON,Makai Lemon,WR,PHI,,140.452374835,1.9433253786,0.1143132576,0.0035347221,,,89.7821807861,50.6701940488,30.0358251154,57,2026,False,0,0,10
00-0026498,Matthew Stafford,QB,LA,38.0,297.3611956291,6.9451065,0.4085357,0.0273348519,378.48,0.5882352941,210.3753976643,86.9857979648,29.9598715948,58,2026,False,0,0,11
00-0034857,Josh Allen,QB,BUF,30.0,296.3507932769,8.435851,0.49622655,0.1800766284,389.62,0.6875,210.3753976643,85.9753956126,29.6118662257,59,2026,False,0,0,7
00-0039893,Brian Thomas Jr.,WR,JAX,24.0,139.6882781982,1.858063,0.10929782,0.0064377682,138.8,0.0714285714,89.7821807861,49.9060974121,29.5828907349,60,2026,False,0,0,7
00-0040715,Cam Skattebo,RB,NYG,24.0,150.4739074707,1.8321137,0.1077714,0.203187251,119.8,0.25,91.2315444946,59.2423629761,29.1751087461,61,2026,False,0,0,8
